America/Belize,181186
America/Asuncion,174995
Europe/San_Marino,54592
Asia/Dubai,104744
Africa/Lusaka,110633
Pacific/Pitcairn,245090
America/Argentina/Catamarca,183382
Europe/Samara,94532
America/Boa_Vista,153775
Pacific/Easter,203190
Asia/Bishkek,124815
Asia/Tokyo,199640
America/Jamaica,186668
Antarctica/Casey,237321
Europe/Warsaw,60536
America/Nome,168719
America/Dawson,153025
Africa/Brazzaville,91280
America/Guyana,146088
Europe/Malta,55997
America/Dominica,194275
Europe/Vatican,54818
Pacific/Midway,179406
Asia/Thimphu,149058
Europe/Lisbon,72105
Asia/Magadan,183447
Europe/Prague,57731
Europe/Minsk,72104
America/Monterrey,171585
Asia/Irkutsk,153869
Africa/Tunis,59368
Australia/Brisbane,244434
Asia/Bahrain,90769
Europe/Volgograd,79813
America/Argentina/Jujuy,184382
America/Regina,196475
Asia/Kamchatka,190098
Australia/Darwin,229454
Africa/Lubumbashi,104552
America/Indiana/Knox,128720
America/Creston,183394
Africa/Kigali,91938
Pacific/Kosrae,246665
Asia/Yakutsk,169071
Europe/Rome,62389
America/Hermosillo,195516
Antarctica/Davis,228799
Africa/Bamako,87519
Africa/Luanda,98711
America/Lima,197008
Europe/Monaco,57262
Pacific/Niue,121632
America/Chicago,144431
Asia/Tehran,97483
Europe/Zurich,57339
Asia/Brunei,198402
Asia/Kolkata,148597
Asia/Jerusalem,58854
Pacific/Tongatapu,248510
Africa/Libreville,86891
Europe/Uzhgorod,65618
Asia/Shanghai,185640
Europe/Bucharest,64331
Africa/Nouakchott,90749
America/Yakutat,177395
Asia/Kathmandu,142520
Asia/Macau,184832
America/Maceio,134991
Asia/Singapore,192231
Pacific/Palau,206897
Atlantic/Reykjavik,86741
Pacific/Wallis,249605
Europe/Stockholm,69497
America/Argentina/Cordoba,185382
America/Detroit,126212
America/Port-au-Prince,145891
Asia/Dhaka,152847
America/Caracas,167363
Asia/Yangon,164090
America/Argentina/San_Luis,186382
Europe/Sarajevo,53596
Pacific/Chatham,246370
Europe/Copenhagen,64920
Pacific/Apia,245557
Indian/Mayotte,127137
America/Matamoros,175468
Asia/Vientiane,171728
Europe/Paris,62516
Atlantic/Faroe,183176
Europe/Berlin,63220
America/Anchorage,178591
Asia/Jakarta,194363
Asia/Urumqi,148326
Africa/Abidjan,92637
America/Nassau,141276
America/Bahia,141884
America/Mazatlan,190446
Africa/Monrovia,96302
America/Curacao,186849
America/Resolute,130514
America/Guatemala,185316
Europe/Kiev,70379
Asia/Samarkand,113681
Asia/Phnom_Penh,178724
Pacific/Tarawa,239559
Europe/Andorra,61739
Africa/Conakry,95445
Asia/Riyadh,86479
Asia/Oral,84214
Europe/Skopje,53981
Pacific/Gambier,247805
Asia/Hebron,70590
Indian/Comoro,222239
America/Halifax,65170
America/Panama,175458
Pacific/Guam,204382
Asia/Dili,222784
America/Santo_Domingo,143134
Asia/Aden,95743
Europe/Sofia,62954
Asia/Kabul,118316
Asia/Colombo,152577
Asia/Tashkent,116424
Africa/Malabo,82607
Africa/Lagos,81949
Europe/Busingen,57496
Africa/Accra,89347
Australia/Adelaide,238230
Antarctica/Vostok,236289
America/Tijuana,195084
Pacific/Tahiti,207771
Pacific/Enderbury,248057
Arctic/Longyearbyen,93198
Pacific/Norfolk,205766
Europe/Tallinn,78371
America/Paramaribo,180834
America/Montevideo,173202
Asia/Muscat,110398
America/Merida,157856
America/Phoenix,189383
Africa/Ndjamena,72282
Australia/Hobart,247691
America/Guayaquil,181538
America/Toronto,122735
Africa/Ceuta,69614
Africa/Bissau,95257
Asia/Dushanbe,117215
Europe/Chisinau,66920
America/Indiana/Petersburg,129720
Africa/Dakar,95103
Africa/Mbabane,130140
Pacific/Noumea,251844
Europe/Athens,62972
Europe/Istanbul,64927
America/Indiana/Vincennes,130720
Europe/Oslo,70721
America/Argentina/San_Juan,187382
Africa/Kinshasa,91928
Africa/Bujumbura,93997
America/Juneau,143396
Asia/Manila,195762
Australia/Lindeman,240598
Asia/Taipei,190684
Pacific/Galapagos,206043
America/Argentina/Buenos_Aires,188382
Africa/Asmara,85398
Asia/Gaza,69661
Europe/Riga,74768
America/Belem,163914
America/Managua,180738
Africa/Nairobi,103534
America/Denver,168115
Antarctica/Troll,221126
America/Boise,172598
Europe/Luxembourg,60280
Australia/Melbourne,244794
America/Argentina/Mendoza,189382
Africa/Johannesburg,127778
Africa/Freetown,96318
Africa/Windhoek,118372
Europe/Ljubljana,54462
Asia/Hong_Kong,186034
America/Santiago,195287
Asia/Vladivostok,197265
Indian/Mauritius,154176
America/Indiana/Vevay,131720
America/Antigua,175794
America/Santarem,149533
Asia/Bangkok,172882
Africa/Douala,81628
Europe/Brussels,62473
Asia/Baku,92164
Europe/Vienna,55782
America/Argentina/La_Rioja,190382
Pacific/Saipan,223418
Pacific/Honolulu,220137
America/Kentucky/Monticello,134806
Pacific/Funafuti,246535
America/Grenada,185958
America/Havana,150226
Asia/Baghdad,78449
Asia/Karachi,123369
America/Kentucky/Louisville,135806
Europe/Belgrade,54258
Africa/Khartoum,79772
Africa/Kampala,97457
America/Montserrat,187501
Antarctica/McMurdo,243781
Pacific/Nauru,203918
Europe/London,59825
Africa/Mogadishu,108954
Africa/Casablanca,72396
America/Argentina/Salta,191382
Pacific/Chuuk,230083
Europe/Jersey,66173
Africa/Porto-Novo,82838
America/Argentina/Rio_Gallegos,192382
Antarctica/Mawson,224110
America/Recife,132501
Europe/Moscow,79610
Africa/Maseru,133075
Asia/Damascus,70566
Africa/Ouagadougou,83081
Australia/Sydney,247885
Asia/Qatar,92864
Pacific/Fiji,206392
Africa/Algiers,61862
America/Indiana/Winamac,132720
America/La_Paz,200670
Africa/Banjul,94934
Indian/Reunion,152755
Africa/Tripoli,57805
Atlantic/Stanley,194590
America/Cuiaba,166793
Asia/Kuwait,84373
Africa/Maputo,131148
Atlantic/Madeira,81758
Africa/Niamey,76056
America/Fortaleza,132100
Asia/Almaty,127558
America/Chihuahua,182895
Africa/Blantyre,116700
Asia/Yerevan,86166
Europe/Madrid,66667
Africa/Harare,116517
America/Kralendijk,149470
Pacific/Wake,130865
America/Indiana/Indianapolis,133720
America/Argentina/Ushuaia,193382
Australia/Currie,244702
Antarctica/Palmer,229368
Antarctica/Rothera,231859
Indian/Mahe,143020
Africa/Djibouti,93687
Australia/Perth,218750
America/Noronha,165008
Europe/Zagreb,54118
Europe/Vilnius,72033
Atlantic/Bermuda,120521
Africa/Gaborone,123659
America/Argentina/Tucuman,194382
Africa/Lome,90252
America/Indiana/Marengo,134720
America/Vancouver,182322
Europe/Bratislava,55775
Europe/Budapest,55536
Australia/Eucla,229335
Asia/Seoul,193305
Africa/Juba,90540
Indian/Christmas,147446
America/Cayman,159104
Europe/Dublin,70960
America/Bogota,175590
Asia/Makassar,209592
Europe/Amsterdam,63295
Asia/Tbilisi,86610
America/Manaus,160421
Pacific/Auckland,255268
America/Tegucigalpa,183695
Pacific/Rarotonga,246197
America/Indiana/Tell_City,135720
Asia/Sakhalin,77166
