"zone.id","time.standard","gmt.offset","dst","zone.names"
1,"LMT",364,0,"Europe/Andorra"
1,"WET",0,0,"Europe/Andorra"
1,"CET",3600,0,"Europe/Andorra"
1,"CEST",7200,1,"Europe/Andorra"
2,"LMT",13272,0,"Asia/Dubai"
2,"+04",14400,0,"Asia/Dubai"
3,"LMT",16608,0,"Asia/Kabul"
3,"+04",14400,0,"Asia/Kabul"
3,"+0430",16200,0,"Asia/Kabul"
4,"LMT",-14764,0,"America/Antigua"
4,"AST",-14400,0,"America/Antigua"
5,"LMT",-14764,0,"America/Anguilla"
5,"AST",-14400,0,"America/Anguilla"
6,"LMT",4760,0,"Europe/Tirane"
6,"CET",3600,0,"Europe/Tirane"
6,"CEST",7200,1,"Europe/Tirane"
7,"LMT",10680,0,"Asia/Yerevan"
7,"+03",10800,0,"Asia/Yerevan"
7,"+04",14400,0,"Asia/Yerevan"
7,"+05",18000,1,"Asia/Yerevan"
7,"+04",14400,1,"Asia/Yerevan"
8,"LMT",816,0,"Africa/Luanda"
8,"WAT",3600,0,"Africa/Luanda"
9,"LMT",41944,0,"Antarctica/McMurdo"
9,"NZMT",41400,0,"Antarctica/McMurdo"
9,"NZST",45000,1,"Antarctica/McMurdo"
9,"NZST",43200,1,"Antarctica/McMurdo"
9,"NZDT",46800,1,"Antarctica/McMurdo"
9,"NZST",43200,0,"Antarctica/McMurdo"
10,"+08",28800,0,"Antarctica/Casey"
10,"+11",39600,0,"Antarctica/Casey"
11,"+07",25200,0,"Antarctica/Davis"
11,"+05",18000,0,"Antarctica/Davis"
12,"+10",36000,0,"Antarctica/DumontDUrville"
13,"+06",21600,0,"Antarctica/Mawson"
13,"+05",18000,0,"Antarctica/Mawson"
14,"-03",-10800,1,"Antarctica/Palmer"
14,"-04",-14400,0,"Antarctica/Palmer"
14,"-03",-10800,0,"Antarctica/Palmer"
14,"-02",-7200,1,"Antarctica/Palmer"
15,"-03",-10800,0,"Antarctica/Rothera"
16,"+03",10800,0,"Antarctica/Syowa"
17,"+02",7200,1,"Antarctica/Troll"
18,"+06",21600,0,"Antarctica/Vostok"
19,"LMT",-14028,0,"America/Argentina/Buenos_Aires"
19,"CMT",-15408,0,"America/Argentina/Buenos_Aires"
19,"-04",-14400,0,"America/Argentina/Buenos_Aires"
19,"-03",-10800,1,"America/Argentina/Buenos_Aires"
19,"-03",-10800,0,"America/Argentina/Buenos_Aires"
19,"-02",-7200,1,"America/Argentina/Buenos_Aires"
20,"LMT",-15408,0,"America/Argentina/Cordoba"
20,"CMT",-15408,0,"America/Argentina/Cordoba"
20,"-04",-14400,0,"America/Argentina/Cordoba"
20,"-03",-10800,1,"America/Argentina/Cordoba"
20,"-03",-10800,0,"America/Argentina/Cordoba"
20,"-02",-7200,1,"America/Argentina/Cordoba"
21,"LMT",-15700,0,"America/Argentina/Salta"
21,"CMT",-15408,0,"America/Argentina/Salta"
21,"-04",-14400,0,"America/Argentina/Salta"
21,"-03",-10800,1,"America/Argentina/Salta"
21,"-03",-10800,0,"America/Argentina/Salta"
21,"-02",-7200,1,"America/Argentina/Salta"
22,"LMT",-15672,0,"America/Argentina/Jujuy"
22,"CMT",-15408,0,"America/Argentina/Jujuy"
22,"-04",-14400,0,"America/Argentina/Jujuy"
22,"-03",-10800,1,"America/Argentina/Jujuy"
22,"-03",-10800,0,"America/Argentina/Jujuy"
22,"-02",-7200,1,"America/Argentina/Jujuy"
23,"LMT",-15652,0,"America/Argentina/Tucuman"
23,"CMT",-15408,0,"America/Argentina/Tucuman"
23,"-04",-14400,0,"America/Argentina/Tucuman"
23,"-03",-10800,1,"America/Argentina/Tucuman"
23,"-03",-10800,0,"America/Argentina/Tucuman"
23,"-02",-7200,1,"America/Argentina/Tucuman"
24,"LMT",-15788,0,"America/Argentina/Catamarca"
24,"CMT",-15408,0,"America/Argentina/Catamarca"
24,"-04",-14400,0,"America/Argentina/Catamarca"
24,"-03",-10800,1,"America/Argentina/Catamarca"
24,"-03",-10800,0,"America/Argentina/Catamarca"
24,"-02",-7200,1,"America/Argentina/Catamarca"
25,"LMT",-16044,0,"America/Argentina/La_Rioja"
25,"CMT",-15408,0,"America/Argentina/La_Rioja"
25,"-04",-14400,0,"America/Argentina/La_Rioja"
25,"-03",-10800,1,"America/Argentina/La_Rioja"
25,"-03",-10800,0,"America/Argentina/La_Rioja"
25,"-02",-7200,1,"America/Argentina/La_Rioja"
26,"LMT",-16444,0,"America/Argentina/San_Juan"
26,"CMT",-15408,0,"America/Argentina/San_Juan"
26,"-04",-14400,0,"America/Argentina/San_Juan"
26,"-03",-10800,1,"America/Argentina/San_Juan"
26,"-03",-10800,0,"America/Argentina/San_Juan"
26,"-02",-7200,1,"America/Argentina/San_Juan"
27,"LMT",-16516,0,"America/Argentina/Mendoza"
